date, pm25, pm10, o3, no2, so2
2014/1/31, 49, 7, 26, 5, 
2014/2/1, 14, 13, 22, 7, 
2014/2/2, 23, 15, 20, 12, 
2014/2/3, 31, 10, 24, 8, 
2014/2/4, 17, 9, 26, 6, 
2014/2/5, 15, 12, 26, 10, 1
2014/2/6, 19, 10, 26, 7, 
2014/2/7, 13, 8, 26, 2, 
2014/2/8, 9, 8, 26, 2, 
2014/2/9, 10, 8, 27, 7, 
2014/2/10, 12, 10, 25, 11, 
2014/2/11, 24, 9, 28, 9, 
2014/2/12, 20, 7, 26, 4, 
2014/2/13, 15, 10, 25, 10, 
2014/2/14, 21, 8, 22, 4, 
2014/2/15, 16, 10, 19, 9, 
2014/2/16, 29, 24, 19, 16, 2
2014/2/17, 61, 31, 8, 25, 1
2014/2/18, 75, 21, 23, 13, 2
2014/2/19, 51, 14, 20, 13, 1
2014/2/20, 34, 11, 23, 12, 
2014/2/21, 26, 14, 26, 9, 2
2014/2/22, 36, 13, 31, 9, 1
2014/2/23, 33, 11, 32, 5, 
2014/2/24, 21, 9, 30, 4, 
2014/2/25, 16, 10, 26, 13, 
2014/2/26, 20, 16, 23, 12, 
2014/2/27, 40, 9, 25, 5, 
2014/2/28, 9, 11, 21, 7, 
2014/3/1, 25, 18, 24, 7, 
2014/3/2, 50, 9, 28, 6, 
2014/3/3, 14, 9, 24, 15, 
2014/3/4, 36, 24, 15, 16, 
2014/3/5, 60, 29, 23, 12, 
2014/3/6, 74, 42, 26, 14, 
2014/3/7, 103, 47, 29, 15, 1
2014/3/8, 119, 29, 37, 18, 
2014/3/9, 73, 29, 34, 13, 
2014/3/10, 70, 49, 24, 15, 1
2014/3/11, 121, 59, 30, 19, 
2014/3/12, 145, 60, 35, 19, 1
2014/3/13, 149, 56, 40, 17, 1
2014/3/14, 136, 58, 35, 11, 2
2014/3/15, 142, 39, 30, 9, 
2014/3/16, 83, 26, 32, 15, 2
2014/3/17, 51, 29, 39, 13, 2
2014/3/18, 55, 24, 29, 7, 
2014/3/19, 37, 28, 40, 9, 4
2014/3/20, 52, 26, 37, 5, 
2014/3/21, 54, 14, 32, 5, 
2014/3/22, 23, 11, 26, 5, 
2014/3/23, 14, 10, 24, 8, 
2014/3/24, 13, 16, 22, 11, 
2014/3/25, 33, 22, 18, 15, 
2014/3/26, 51, 30, 28, 15, 2
2014/3/27, 72, 30, 32, 16, 3
2014/3/28, 65, 20, 36, 13, 
2014/3/29, 41, 28, 30, 15, 1
2014/3/30, 57, 28, 37, 18, 
2014/3/31, 53, 32, 30, 8, 
2023/12/25, , 26, 1, 27, 
2023/7/8, , 23, 37, 3, 
2023/9/23, , 5, 28, 4, 
2022/2/27, , 16, 25, 13, 
2022/3/14, , 17, 31, 3, 
2021/11/7, , 14, 15, 8, 
2020/3/31, , 16, 36, 6, 
2019/12/31, , 19, 11, 16, 
2019/7/14, , 25, 37, 4, 
2018/12/31, , 5, 15, 8, 
2017/12/31, , 3, 28, 2, 
2018/2/21, , 37, 18, 12, 
2017/12/9, , 3, 27, 3, 
2017/12/10, , 3, 23, 5, 
2017/9/9, , 1, 18, 4, 
2016/7/26, , 24, 36, 5, 3
2016/1/2, , 10, 25, 5, 
2015/4/1, , 14, 27, 9, 1
2015/5/10, , 11, 43, 3, 
2015/5/15, , 8, 33, 3, 
2015/5/17, , 10, 35, 1, 
2015/2/8, , 27, 4, 30, 
2015/3/8, , 23, 22, 19, 1
2015/3/30, , 7, 31, 4, 
2015/3/31, , 11, 31, 4, 
2013/12/31, , 6, 19, 3, 
2014/1/26, , 13, 23, 13, 
2022/10/1, , , 21, 4, 
2022/10/2, , , 21, 4, 
2022/11/20, , , 23, 4, 
2022/6/2, , , 38, 7, 
2022/3/12, , , 34, 2, 
2022/3/13, , , 17, 12, 
2015/3/7, , , 28, 13, 1
2014/1/24, , , 16, 13, 
2014/1/25, , , 21, 9, 
2022/11/4, , , , 3, 
